Nome da imagem            Identifi Nome da sessão       Sessão# Uso de memór Status          Nome de usuário                                    Tempo de CPU Título da janela                                                         
========================= ======== ================ =========== ============ =============== ================================================== ============ ======================================================================== 
System Idle Process              0 Services                   0          8 K Unknown         AUTORIDADE NT\SISTEMA                                 712:18:59 N/A                                                                      
MsMpEng.exe                   6292 Services                   0    366.008 K Unknown         N/A                                                     0:47:19 N/A                                                                      
KillerNetworkService.exe      6340 Services                   0    129.004 K Unknown         N/A                                                     0:02:30 N/A                                                                      
wslservice.exe                6356 Services                   0     34.240 K Unknown         N/A                                                     0:00:13 N/A                                                                      
svchost.exe                   6372 Services                   0     14.712 K Unknown         N/A                                                     0:00:01 N/A                                                                      
svchost.exe                   6696 Services                   0     11.884 K Unknown         N/A                                                     0:00:01 N/A                                                                      
svchost.exe                   7280 Services                   0      7.736 K Unknown         N/A                                                     0:00:00 N/A                                                                      
xTendUtilityService.exe       7656 Services                   0     21.680 K Unknown         N/A                                                     0:00:00 N/A                                                                      
KNDBWMService.exe             8388 Services                   0     21.712 K Unknown         N/A                                                     0:00:00 N/A                                                                      
conhost.exe                   8404 Services                   0     10.620 K Unknown         N/A                                                     0:00:04 N/A                                                                      
xTendUtility.exe              8536 Services                   0     10.720 K Unknown         N/A                                                     0:00:00 N/A                                                                      
conhost.exe                   8764 Services                   0     10.624 K Unknown         N/A                                                     0:00:05 N/A                                                                      
KNDBWM.exe                    8852 Services                   0     23.860 K Unknown         N/A                                                     0:00:32 N/A                                                                      
QuickShareService.exe         9372 Services                   0     28.792 K Unknown         N/A                                                     0:00:01 N/A                                                                      
KAPSService.exe               9388 Services                   0     21.668 K Unknown         N/A                                                     0:00:00 N/A                                                                      
SAService.exe                 9492 Services                   0     15.760 K Unknown         N/A                                                     0:00:00 N/A                                                                      
conhost.exe                   9672 Services                   0     10.628 K Unknown         N/A                                                     0:00:05 N/A                                                                      
KAPS.exe                      9752 Services                   0     24.792 K Unknown         N/A                                                     0:01:11 N/A                                                                      
svchost.exe                   9912 Services                   0     27.288 K Unknown         N/A                                                     0:00:04 N/A                                                                      
AggregatorHost.exe            9156 Services                   0     13.536 K Unknown         N/A                                                     0:00:04 N/A                                                                      
svchost.exe                   9932 Services                   0     27.000 K Unknown         N/A                                                     0:00:05 N/A                                                                      
svchost.exe                  10176 Services                   0     11.832 K Unknown         N/A                                                     0:00:00 N/A                                                                      
svchost.exe                  10164 Services                   0     16.448 K Unknown         N/A                                                     0:00:02 N/A                                                                      
svchost.exe                  10288 Services                   0     14.212 K Unknown         N/A                                                     0:00:01 N/A                                                                      
NgcIso.exe                   10344 Services                   0      4.608 K Unknown         N/A                                                     0:00:00 N/A                                                                      
SearchIndexer.exe            10512 Services                   0     54.228 K Unknown         N/A                                                     0:14:38 N/A                                                                      
RtkAudUService64.exe         10956 Console                    1     20.152 K Running         N/A                                                     0:00:01 RealtekAudioAdminBackgroundProcessClass                                  
WmiPrvSE.exe                 11156 Services                   0     22.080 K Unknown         N/A                                                     0:00:05 N/A                                                                      
nvcontainer.exe               8708 Console                    1     68.164 K Running         N/A                                                     0:00:40 UxdService                                                               
NisSrv.exe                   12276 Services                   0     14.216 K Unknown         N/A                                                     0:00:01 N/A                                                                      
vmmemCmZygote                11636 Services                   0          8 K Unknown         N/A                                                     0:00:00 N/A                                                                      
unsecapp.exe                 11964 Console                    1     10.352 K Running         N/A                                                     0:00:00 OleMainThreadWndName                                                     
spacedeskServiceTray.exe      6952 Console                    1     10.672 K Running         ALIEN\thyag                                             0:00:00 spacedesk DRIVER for PRIMARY Machine (Server)                            
dptf_helper.exe              11420 Console                    1      8.904 K Running         ALIEN\thyag                                             0:04:51 N/A                                                                      
